datetime,code,open,high,low,close,volume,position,price,tradetime,type
2020-01-17 14:10:00,RB2005,3600.0002441406,3601.0002441406,3599.0002441406,3600.0002441406,2670.0,1399626.0,0.0,2020-01-17 14:10,1min
2020-01-17 14:11:00,RB2005,3600.0002441406,3601.0002441406,3599.0002441406,3600.0002441406,2331.0,1400502.0,0.0,2020-01-17 14:11,1min
2020-01-17 14:12:00,RB2005,3600.0002441406,3600.0002441406,3598.0002441406,3600.0002441406,1956.0,1400191.0,0.0,2020-01-17 14:12,1min
2020-01-17 14:13:00,RB2005,3599.0002441406,3600.0002441406,3597.0002441406,3598.0002441406,2155.0,1400207.0,0.0,2020-01-17 14:13,1min
2020-01-17 14:14:00,RB2005,3598.0002441406,3599.0002441406,3597.0002441406,3599.0002441406,1067.0,1400334.0,0.0,2020-01-17 14:14,1min
2020-01-17 14:15:00,RB2005,3599.0002441406,3602.0002441406,3598.0002441406,3601.0002441406,3778.0,1402290.0,0.0,2020-01-17 14:15,1min
2020-01-17 14:16:00,RB2005,3602.0002441406,3603.0002441406,3601.0002441406,3602.0002441406,4490.0,1402509.0,0.0,2020-01-17 14:16,1min
2020-01-17 14:17:00,RB2005,3602.0002441406,3603.0002441406,3598.0002441406,3598.0002441406,3997.0,1402313.0,0.0,2020-01-17 14:17,1min
2020-01-17 14:18:00,RB2005,3599.0002441406,3599.0002441406,3597.0002441406,3598.0002441406,2153.0,1402929.0,0.0,2020-01-17 14:18,1min
2020-01-17 14:19:00,RB2005,3598.0002441406,3599.0002441406,3598.0002441406,3599.0002441406,990.0,1403191.0,0.0,2020-01-17 14:19,1min
2020-01-17 14:20:00,RB2005,3600.0002441406,3600.0002441406,3598.0002441406,3598.0002441406,738.0,1403566.0,0.0,2020-01-17 14:20,1min
2020-01-17 14:21:00,RB2005,3599.0002441406,3600.0002441406,3598.0002441406,3600.0002441406,958.0,1403688.0,0.0,2020-01-17 14:21,1min
2020-01-17 14:22:00,RB2005,3600.0002441406,3602.0002441406,3599.0002441406,3602.0002441406,2465.0,1404596.0,0.0,2020-01-17 14:22,1min
2020-01-17 14:23:00,RB2005,3602.0002441406,3602.0002441406,3601.0002441406,3601.0002441406,1215.0,1404896.0,0.0,2020-01-17 14:23,1min
2020-01-17 14:24:00,RB2005,3602.0002441406,3602.0002441406,3600.0002441406,3601.0002441406,1652.0,1405474.0,0.0,2020-01-17 14:24,1min
2020-01-17 14:25:00,RB2005,3601.0002441406,3602.0002441406,3600.0002441406,3602.0002441406,1879.0,1405686.0,0.0,2020-01-17 14:25,1min
2020-01-17 14:26:00,RB2005,3601.0002441406,3605.0002441406,3601.0002441406,3604.0002441406,8281.0,1406977.0,0.0,2020-01-17 14:26,1min
2020-01-17 14:27:00,RB2005,3605.0002441406,3605.0002441406,3599.0002441406,3599.0002441406,4485.0,1406019.0,0.0,2020-01-17 14:27,1min
2020-01-17 14:28:00,RB2005,3600.0002441406,3602.0002441406,3599.0002441406,3601.0002441406,1071.0,1406337.0,0.0,2020-01-17 14:28,1min
2020-01-17 14:29:00,RB2005,3602.0002441406,3602.0002441406,3601.0002441406,3601.0002441406,782.0,1406594.0,0.0,2020-01-17 14:29,1min
2020-01-17 14:30:00,RB2005,3602.0002441406,3604.0002441406,3602.0002441406,3603.0002441406,1919.0,1407186.0,0.0,2020-01-17 14:30,1min
2020-01-17 14:31:00,RB2005,3604.0002441406,3607.0002441406,3603.0002441406,3606.0002441406,8806.0,1408409.0,0.0,2020-01-17 14:31,1min
2020-01-17 14:32:00,RB2005,3605.0002441406,3607.0002441406,3603.0002441406,3604.0002441406,5867.0,1408285.0,0.0,2020-01-17 14:32,1min
2020-01-17 14:33:00,RB2005,3604.0002441406,3606.0002441406,3604.0002441406,3605.0002441406,2378.0,1408880.0,0.0,2020-01-17 14:33,1min
2020-01-17 14:34:00,RB2005,3606.0002441406,3606.0002441406,3605.0002441406,3606.0002441406,1852.0,1409114.0,0.0,2020-01-17 14:34,1min
2020-01-17 14:35:00,RB2005,3605.0002441406,3606.0002441406,3604.0002441406,3604.0002441406,1369.0,1409606.0,0.0,2020-01-17 14:35,1min
2020-01-17 14:36:00,RB2005,3605.0002441406,3607.0002441406,3604.0002441406,3607.0002441406,2227.0,1409878.0,0.0,2020-01-17 14:36,1min
2020-01-17 14:37:00,RB2005,3607.0002441406,3608.0002441406,3604.0002441406,3604.0002441406,4976.0,1409616.0,0.0,2020-01-17 14:37,1min
2020-01-17 14:38:00,RB2005,3605.0002441406,3607.0002441406,3604.0002441406,3607.0002441406,2210.0,1409536.0,0.0,2020-01-17 14:38,1min
2020-01-17 14:39:00,RB2005,3606.0002441406,3607.0002441406,3606.0002441406,3607.0002441406,1725.0,1410038.0,0.0,2020-01-17 14:39,1min
2020-01-17 14:40:00,RB2005,3607.0002441406,3608.0002441406,3606.0002441406,3607.0002441406,2726.0,1410971.0,0.0,2020-01-17 14:40,1min
2020-01-17 14:41:00,RB2005,3606.0002441406,3608.0002441406,3605.0002441406,3605.0002441406,3999.0,1411588.0,0.0,2020-01-17 14:41,1min
2020-01-17 14:42:00,RB2005,3606.0002441406,3606.0002441406,3605.0002441406,3606.0002441406,1480.0,1411863.0,0.0,2020-01-17 14:42,1min
2020-01-17 14:43:00,RB2005,3605.0002441406,3607.0002441406,3605.0002441406,3606.0002441406,1640.0,1412128.0,0.0,2020-01-17 14:43,1min
2020-01-17 14:44:00,RB2005,3607.0002441406,3607.0002441406,3605.0002441406,3605.0002441406,2693.0,1412933.0,0.0,2020-01-17 14:44,1min
2020-01-17 14:45:00,RB2005,3606.0002441406,3606.0002441406,3601.0002441406,3603.0002441406,6739.0,1413241.0,0.0,2020-01-17 14:45,1min
2020-01-17 14:46:00,RB2005,3602.0002441406,3605.0002441406,3602.0002441406,3605.0002441406,2783.0,1412984.0,0.0,2020-01-17 14:46,1min
2020-01-17 14:47:00,RB2005,3605.0002441406,3606.0002441406,3604.0002441406,3605.0002441406,2543.0,1412247.0,0.0,2020-01-17 14:47,1min
2020-01-17 14:48:00,RB2005,3606.0002441406,3606.0002441406,3602.0002441406,3602.0002441406,2820.0,1411726.0,0.0,2020-01-17 14:48,1min
2020-01-17 14:49:00,RB2005,3603.0002441406,3603.0002441406,3601.0002441406,3602.0002441406,4851.0,1411725.0,0.0,2020-01-17 14:49,1min
2020-01-17 14:50:00,RB2005,3602.0002441406,3602.0002441406,3600.0002441406,3600.0002441406,4067.0,1412108.0,0.0,2020-01-17 14:50,1min
2020-01-17 14:51:00,RB2005,3600.0002441406,3603.0002441406,3600.0002441406,3602.0002441406,3447.0,1411650.0,0.0,2020-01-17 14:51,1min
2020-01-17 14:52:00,RB2005,3601.0002441406,3603.0002441406,3601.0002441406,3601.0002441406,1321.0,1411552.0,0.0,2020-01-17 14:52,1min
2020-01-17 14:53:00,RB2005,3602.0002441406,3603.0002441406,3601.0002441406,3603.0002441406,1488.0,1411424.0,0.0,2020-01-17 14:53,1min
2020-01-17 14:54:00,RB2005,3602.0002441406,3603.0002441406,3602.0002441406,3603.0002441406,797.0,1411081.0,0.0,2020-01-17 14:54,1min
2020-01-17 14:55:00,RB2005,3603.0002441406,3603.0002441406,3601.0002441406,3601.0002441406,1514.0,1410580.0,0.0,2020-01-17 14:55,1min
2020-01-17 14:56:00,RB2005,3602.0002441406,3602.0002441406,3595.0002441406,3595.0002441406,13826.0,1407252.0,0.0,2020-01-17 14:56,1min
2020-01-17 14:57:00,RB2005,3595.0002441406,3599.0002441406,3595.0002441406,3598.0002441406,6762.0,1404544.0,0.0,2020-01-17 14:57,1min
2020-01-17 14:58:00,RB2005,3598.0002441406,3598.0002441406,3595.0002441406,3595.0002441406,7754.0,1404325.0,0.0,2020-01-17 14:58,1min
2020-01-17 14:59:00,RB2005,3595.0002441406,3595.0002441406,3592.0002441406,3593.0002441406,10622.0,1399534.0,0.0,2020-01-17 14:59,1min
2020-01-17 15:00:00,RB2005,3593.0002441406,3597.0002441406,3592.0002441406,3595.0002441406,12288.0,1396015.0,0.0,2020-01-17 15:00,1min
2020-01-20 09:01:00,RB2005,3600.0002441406,3604.0002441406,3600.0002441406,3602.0002441406,9213.0,1390585.0,0.0,2020-01-20 09:01,1min
